appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
1147860,UFO 50,1147860_UFO 50.txt,existing,UFO 50,,,57448,9964
1091500,Cyberpunk 2077,1091500_Cyberpunk 2077.txt,existing,Cyberpunk 2077,,,53684,8450
2322010,God of War Ragnarök,2322010_God of War Ragnarök.txt,ok,God of War Ragnarök,https://en.wikipedia.org/wiki/God_of_War_Ragnar%C3%B6k,8.00,49887,8267
1284210,Guild Wars 2,1284210_Guild Wars 2.txt,existing,Guild Wars 2,,,46134,7666
1151340,Fallout 76,1151340_Fallout 76.txt,existing,Fallout 76,,,45248,7371
1222690,Dragon Age Inquisition,1222690_Dragon Age Inquisition.txt,existing,Dragon Age: Inquisition,,,44858,7123
975370,Dwarf Fortress,975370_Dwarf Fortress.txt,ok,Dwarf Fortress,https://en.wikipedia.org/wiki/Dwarf_Fortress,8.00,42657,6962
2208920,Assassin's Creed Valhalla,2208920_Assassin's Creed Valhalla.txt,ok,Assassin's Creed Valhalla,https://en.wikipedia.org/wiki/Assassin%27s_Creed_Valhalla,8.00,42593,6853
1237970,Titanfall 2,1237970_Titanfall 2.txt,existing,Titanfall 2,,,40825,6499
2668510,Red Dead Redemption,2668510_Red Dead Redemption.txt,ok,Red Dead Redemption,https://en.wikipedia.org/wiki/Red_Dead_Redemption,8.00,40269,6250
2653790,The Exit 8,2653790_The Exit 8.txt,ok,The Exit 8,https://en.wikipedia.org/wiki/The_Exit_8,8.00,39853,6701
1086940,Baldur's Gate 3,1086940_Baldur's Gate 3.txt,existing,Baldur's Gate 3,,,39227,6115
1238840,Battlefield 1,1238840_Battlefield 1.txt,existing,Battlefield 1,,,37354,6164
2050650,Resident Evil 4,2050650_Resident Evil 4.txt,ok,Resident Evil 4,https://en.wikipedia.org/wiki/Resident_Evil_4,8.00,36603,6053
1196590,Resident Evil Village,1196590_Resident Evil Village.txt,existing,Resident Evil Village,,,36361,5917
1238860,Battlefield 4,1238860_Battlefield 4.txt,existing,Battlefield 4,,,35677,5809
1401590,Disney Dreamlight Valley,1401590_Disney Dreamlight Valley.txt,ok,Disney Dreamlight Valley,https://en.wikipedia.org/wiki/Disney_Dreamlight_Valley,8.00,35482,5784
2058190,Lost Judgment,2058190_Lost Judgment.txt,ok,Lost Judgment,https://en.wikipedia.org/wiki/Lost_Judgment,8.00,34806,5642
1671200,Honkai Impact 3rd,1671200_Honkai Impact 3rd.txt,ok,Honkai Impact 3rd,https://en.wikipedia.org/wiki/Honkai_Impact_3rd,8.00,34548,5466
578650,The Outer Worlds,578650_The Outer Worlds.txt,ok,The Outer Worlds,https://en.wikipedia.org/wiki/The_Outer_Worlds,8.00,34512,5498
1238060,Dead Space 3,1238060_Dead Space 3.txt,existing,Dead Space 3,,,34511,5467
782330,DOOM Eternal,782330_DOOM Eternal.txt,ok,Doom Eternal,https://en.wikipedia.org/wiki/Doom_Eternal,8.00,33472,5406
2161700,Persona 3 Reload,2161700_Persona 3 Reload.txt,ok,Persona 3 Reload,https://en.wikipedia.org/wiki/Persona_3_Reload,8.00,33310,5298
2058180,Judgment,2058180_Judgment.txt,ok,Judgment (video game),https://en.wikipedia.org/wiki/Judgment_(video_game),6.56,33234,5247
1954200,Kena: Bridge of Spirits,1954200_Kena - Bridge of Spirits.txt,ok,Kena: Bridge of Spirits,https://en.wikipedia.org/wiki/Kena:_Bridge_of_Spirits,8.00,32801,5256
2358720,Black Myth: Wukong,2358720_Black Myth - Wukong.txt,ok,Black Myth: Wukong,https://en.wikipedia.org/wiki/Black_Myth:_Wukong,8.00,32333,5237
990080,Hogwarts Legacy,990080_Hogwarts Legacy.txt,ok,Hogwarts Legacy,https://en.wikipedia.org/wiki/Hogwarts_Legacy,8.00,32199,4990
2172010,Until Dawn,2172010_Until Dawn.txt,ok,Until Dawn,https://en.wikipedia.org/wiki/Until_Dawn,8.00,31791,5059
753640,Outer Wilds,753640_Outer Wilds.txt,ok,Outer Wilds,https://en.wikipedia.org/wiki/Outer_Wilds,8.00,31547,5287
607080,Psychonauts 2,607080_Psychonauts 2.txt,ok,Psychonauts 2,https://en.wikipedia.org/wiki/Psychonauts_2,8.00,31438,4949
1693980,Dead Space,1693980_Dead Space.txt,ok,Dead Space,https://en.wikipedia.org/wiki/Dead_Space,8.00,31251,5113
239140,Dying Light,239140_Dying Light.txt,ok,Dying Light,https://en.wikipedia.org/wiki/Dying_Light,8.00,31060,5042
1967430,Ghost Trick: Phantom Detective,1967430_Ghost Trick - Phantom Detective.txt,ok,Ghost Trick: Phantom Detective,https://en.wikipedia.org/wiki/Ghost_Trick:_Phantom_Detective,8.00,30959,4923
2239550,Watch Dogs: Legion,2239550_Watch Dogs - Legion.txt,ok,Watch Dogs: Legion,https://en.wikipedia.org/wiki/Watch_Dogs:_Legion,8.00,30831,4866
482400,System Shock,482400_System Shock.txt,ok,System Shock,https://en.wikipedia.org/wiki/System_Shock,8.00,30031,4812
1845910,Dragon Age: The Veilguard,1845910_Dragon Age - The Veilguard.txt,ok,Dragon Age: The Veilguard,https://en.wikipedia.org/wiki/Dragon_Age:_The_Veilguard,8.00,30027,4738
2679460,Metaphor: ReFantazio,2679460_Metaphor - ReFantazio.txt,ok,Metaphor: ReFantazio,https://en.wikipedia.org/wiki/Metaphor:_ReFantazio,8.00,29839,4718
